Month,Month-Year,Total Construction,Private Construction,Public Construction
1,2-Jan,59516,45273,14243
2,2-Feb,58588,44475,14113
3,2-Mar,63782,49396,14386
4,2-Apr,69504,53283,16221
5,2-May,73384,55009,18375
6,2-Jun,77182,57801,19381
7,2-Jul,78863,58494,20369
8,2-Aug,79460,57953,21507
9,2-Sep,76542,55157,21385
10,2-Oct,75710,56023,19687
11,2-Nov,71362,53552,17810
12,2-Dec,63984,48023,15961
13,3-Jan,59877,45473,14404
14,3-Feb,58526,44620,13906
15,3-Mar,64506,49996,14510
16,3-Apr,69638,53195,16444
17,3-May,74473,56286,18187
18,3-Jun,80377,60076,20301
19,3-Jul,82971,62216,20755
20,3-Aug,85191,63234,21957
21,3-Sep,83841,61767,22075
22,3-Oct,83133,62813,20321
23,3-Nov,77915,60115,17801
24,3-Dec,71050,55584,15466
25,4-Jan,64934,50975,13959
26,4-Feb,64138,50449,13689
27,4-Mar,73238,57796,15443
28,4-Apr,78354,61177,17177
29,4-May,83736,65027,18709
30,4-Jun,89932,69039,20893
31,4-Jul,93614,72170,21444
32,4-Aug,96164,74001,22164
33,4-Sep,92538,70662,21876
34,4-Oct,90582,70856,19726
35,4-Nov,86394,67585,18809
36,4-Dec,77733,61438,16295
37,5-Jan,71474,57094,14380
38,5-Feb,72048,57531,14517
39,5-Mar,81345,65425,15920
40,5-Apr,85485,67829,17656
41,5-May,92959,72862,20097
42,5-Jun,99632,77258,22375
43,5-Jul,103158,80480,22679
44,5-Aug,106706,82629,24078
45,5-Sep,103269,79584,23685
46,5-Oct,102339,80820,21519
47,5-Nov,97549,77774,19775
48,5-Dec,88172,70692,17479
49,6-Jan,81058,65339,15719
50,6-Feb,81478,65622,15857
51,6-Mar,92855,75163,17692
52,6-Apr,95324,75780,19544
53,6-May,102495,80488,22007
54,6-Jun,107607,83196,24411
55,6-Jul,108423,83700,24723
56,6-Aug,110434,84649,25785
57,6-Sep,104191,79268,24923
58,6-Oct,101582,78199,23384
59,6-Nov,95339,73461,21878
60,6-Dec,86436,66972,19464
61,7-Jan,79406,61161,18245
62,7-Feb,79177,61437,17740
63,7-Mar,88905,69403,19503
64,7-Apr,93375,71433,21942
65,7-May,100534,75685,24849
66,7-Jun,105399,78562,26837
67,7-Jul,107090,79270,27820
68,7-Aug,110430,80737,29693
69,7-Sep,105150,76278,28871
70,7-Oct,103847,76695,27152
71,7-Nov,94822,69777,25045
72,7-Dec,84218,62840,21377
73,8-Jan,77349,58150,19199
74,8-Feb,77227,57625,19602
75,8-Mar,82779,61442,21336
76,8-Apr,87743,64051,23692
77,8-May,92781,66767,26014
78,8-Jun,96338,67515,28823
79,8-Jul,98483,68180,30303
80,8-Aug,99786,68477,31309
81,8-Sep,96755,66012,30743
82,8-Oct,95612,66730,28883
83,8-Nov,86067,59993,26073
84,8-Dec,76645,53884,22761
85,9-Jan,66944,46974,19971
86,9-Feb,66296,45548,20748
87,9-Mar,71624,48688,22936
88,9-Apr,75187,50234,24953
89,9-May,76808,50342,26466
90,9-Jun,81429,51170,30259
91,9-Jul,83379,51872,31507
92,9-Aug,84368,52917,31450
93,9-Sep,81213,50026,31188
94,9-Oct,79949,51729,28220
95,9-Nov,71906,46599,25308
96,9-Dec,64098,42209,21889
97,10-Jan,55586,36650,18936
98,10-Feb,54019,35295,18724
99,10-Mar,60228,39090,21138
100,10-Apr,66422,42486,23936
101,10-May,68906,43340,25567
102,10-Jun,74035,44831,29204
103,10-Jul,73077,43851,29226
104,10-Aug,75834,44803,31031
105,10-Sep,74764,42978,31786
106,10-Oct,73470,45539,27931
107,10-Nov,68019,42805,25215
108,10-Dec,60202,38928,21274
109,11-Jan,50955,32377,18578
110,11-Feb,50544,32069,18475
111,11-Mar,56536,36074,20461
112,11-Apr,61454,39441,22013
113,11-May,65814,42040,23775
114,11-Jun,72850,45686,27164
115,11-Jul,72113,45258,26855
116,11-Aug,77104,47807,29297
117,11-Sep,75372,46382,28990
118,11-Oct,74222,48266,25957
119,11-Nov,68809,44795,24014
120,11-Dec,62242,41414,20828
121,12-Jan,55671,37611,18059
122,12-Feb,55981,37498,18483
123,12-Mar,60796,41304,19491
124,12-Apr,66223,44964,21259
125,12-May,72240,48342,23898
126,12-Jun,77876,50900,26975
127,12-Jul,78897,51794,27104
128,12-Aug,81712,53073,28640
129,12-Sep,80812,53874,26938
130,12-Oct,81520,55888,25632
131,12-Nov,77091,53942,23148
132,12-Dec,68136,48740,19396
133,13-Jan,59143,42070,17074
134,13-Feb,58395,41224,17171
135,13-Mar,64036,45779,18257
136,13-Apr,70535,50022,20513
137,13-May,77327,54369,22959
138,13-Jun,81722,56228,25495
139,13-Jul,83104,56354,26750
140,13-Aug,85677,57481,28196
141,13-Sep,85383,58297,27086
142,13-Oct,85193,59370,25823
143,13-Nov,77931,55191,22741
144,13-Dec,71502,52132,19369
145,14-Jan,64661,47827,16834
146,14-Feb,63368,46647,16721
